schedule,chunk,init_time_s,work_time_s,checksum,iters,final_diff
static,1,0.00100493,5.09244,39960.9,10,0.000976562
static,10,0.000844002,5.07789,39960.9,10,0.000976562
static,50,0.000829935,5.06006,39960.9,10,0.000976562
static,100,0.000577927,5.07021,39960.9,10,0.000976562
static,500,0.000232935,5.05238,39960.9,10,0.000976562
static,1000,0.0001719,5.07078,39960.9,10,0.000976562
static,5000,0.000154972,5.13067,39960.9,10,0.000976562
static,10000,0.000370979,10.3249,39960.9,10,0.000976562
dynamic,1,0.011533,5.1168,39960.9,10,0.000976562
dynamic,10,0.00138402,5.1328,39960.9,10,0.000976562
dynamic,50,0.000815153,5.06413,39960.9,10,0.000976562
dynamic,100,0.000681877,5.05705,39960.9,10,0.000976562
dynamic,500,0.000226974,5.09273,39960.9,10,0.000976562
dynamic,1000,0.000145912,5.04793,39960.9,10,0.000976562
dynamic,5000,0.000144958,5.04858,39960.9,10,0.000976562
dynamic,10000,0.000215054,10.1664,39960.9,10,0.000976562
guided,1,0.000240088,5.03246,39960.9,10,0.000976562
guided,10,0.000236988,5.06,39960.9,10,0.000976562
guided,50,0.000228167,5.07703,39960.9,10,0.000976562
guided,100,0.000234842,5.12613,39960.9,10,0.000976562
guided,500,0.000169039,5.42581,39960.9,10,0.000976562
guided,1000,0.000171185,5.32473,39960.9,10,0.000976562
guided,5000,0.000124931,5.14029,39960.9,10,0.000976562
guided,10000,0.000218153,10.096,39960.9,10,0.000976562
